Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
Mediterranean,2019,Jan,Unknown,117.0,117,3.0,10.0,Unknown,2.0,Drowning,Libya,"34.177488404634, 14.107902221177",Central Mediterranean
Mediterranean,2019,Jan,1.0,Unknown,1,53.0,Unknown,1.0,Unknown,Drowning,Greece,"37.283283323213, 27.104012036372",Eastern Mediterranean
Mediterranean,2019,Jan,Unknown,53.0,53,1.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.683709040408, -3.185250605342",Western Mediterranean
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.481200700000, -111.667840700000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"Arizona, USA","31.746892100000, -111.945738600000",Unknown
US-Mexico Border,2019,Jan,Unknown,1.0,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.258109878807, -98.596733869797",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"29.063937500000, -100.663562500000",Unknown
Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Spain,"35.289594291265, -2.933496506173",Western Mediterranean
Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"19.178049100000, -96.128842600000",Unknown
US-Mexico Border,2019,Jan,Unknown,2.0,2,Unknown,Unknown,Unknown,Unknown,Drowning,Mexico,"27.478392338088, -99.479276945846",Unknown
Middle East,2019,Jan,3.0,Unknown,3,Unknown,Unknown,3.0,Unknown,Drowning,Greece,"40.942167951616, 26.352665973258",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
Mediterranean,2019,Jan,10.0,Unknown,10,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.210755489725, 16.588350626388",Central Mediterranean
Mediterranean,2019,Jan,1.0,Unknown,1,40.0,1.0,Unknown,1.0,Unknown,Turkey,"37.857359600378, 27.167936354123",Eastern Mediterranean
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"28.730727706150, -100.563445215960",Unknown
Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.438323400000, -100.973678000000",Unknown
Mediterranean,2019,Jan,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.220020736471, 16.567751261154",Central Mediterranean
Central America,2019,Jan,1.0,Unknown,1,100.0,Unknown,1.0,Unknown,Accident,Mexico,"18.329901676413, -95.812964294797",Unknown
Mediterranean,2019,Jan,1.0,Unknown,1,6.0,1.0,Unknown,Unknown,Drowning,Morocco,"35.261606842877, -2.901902411860",Western Mediterranean
Europe,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,France,"49.232567558821, -0.290652339042",Unknown
Mediterranean,2019,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.224587793151, 16.529299112716",Central Mediterranean
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US
Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.685755388762, -2.777835705707",Western Mediterranean
Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.485367400000, -4.738263000000",Western Mediterranean
South America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,Colombia,"2.352686000000, -76.683352000000",Unknown
Mediterranean,2019,Jan,1.0,Unknown,1,67.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.886028764776, -3.811126192952",Western Mediterranean
