Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
Mediterranean,2016,May,Unknown,550.0,550,87.0,Unknown,Unknown,40.0,Drowning,Libya,"33.050577000000, 12.059376000000",Central Mediterranean
Mediterranean,2016,May,Unknown,9.0,9,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"36.917477600000, 14.514321100000",Central Mediterranean
Mediterranean,2016,May,1.0,Unknown,1,526.0,Unknown,Unknown,Unknown,Unknown,Libya,"36.917477600000, 14.514321100000",Central Mediterranean
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"29.322646000000, -101.005384400000",Central America to US
Mediterranean,2016,May,6.0,Unknown,6,139.0,1.0,Unknown,Unknown,Unknown,Libya,"36.917477600000, 14.514321100000",Central Mediterranean
Mediterranean,2016,May,5.0,250.0,255,460.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.761023100000, 12.699894300000",Central Mediterranean
Mediterranean,2016,May,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.761023100000, 12.699894300000",Central Mediterranean
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,1.0,Drowning,Mexico,"27.133490800000, -103.434484000000",Central America to US
Central America,2016,May,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Murdered,Mexico,"15.342171100000, -92.685594400000",Central America to US
Middle East,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.097529600000, 36.231401700000",Unknown
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"18.268156600000, -95.896946100000",Central America to US
Mediterranean,2016,May,4.0,Unknown,4,Unknown,4.0,Unknown,Unknown,Suffocation,Libya,"35.102507300000, 12.135376000000",Central Mediterranean
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Middle East,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Syria,"36.663768200000, 36.901371500000",Unknown
North Africa,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.824075900000, 31.260625300000",Unknown
North Africa,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.402255200000, 27.905378900000",Unknown
North Africa,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"23.459686000000, 30.665449400000",Unknown
Horn of Africa,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"0.513496700000, 42.068828400000",Unknown
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Texas, USA","27.715588900000, -99.698746100000",Central America to US
Mediterranean,2016,May,0.0,10.0,10,Unknown,Unknown,Unknown,Unknown,Unknown,Italy,"39.991424200000, 9.124229100000",Central Mediterranean
Middle East,2016,May,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Sickness and lack of access to medicines,Syria,"36.089526300000, 36.316630000000",Unknown
North Africa,2016,May,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.944176900000, 30.445076800000",Unknown
North Africa,2016,May,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"24.746105900000, 32.598688600000",Unknown
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"14.898205500000, -92.334665600000",Central America to US
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"14.820600100000, -92.642827600000",Central America to US
North Africa,2016,May,9.0,Unknown,9,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
Mediterranean,2016,May,Unknown,45.0,45,Unknown,7.0,Unknown,Unknown,Drowning,Spain,"35.444132400000, -4.070813700000",Western Mediterranean
North Africa,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,May,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.525259500000, 33.297328800000",Unknown
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.022782200000, -98.541238400000",Central America to US
North Africa,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Ethiopia,"9.312848600000, 42.100639100000",Unknown
Horn of Africa,2016,May,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Middle East,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,1.0,Sickness and lack of access to medicines,Syria,"36.681792000000, 36.623154000000",Unknown
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"27.961081400000, -110.810304800000",Central America to US
Mediterranean,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Egypt,"31.319987900000, 30.338503100000",Central Mediterranean
Mediterranean,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Egypt,"31.319987900000, 30.338503100000",Central Mediterranean
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Nicaragua,"11.208085100000, -85.624957200000",Central America to US
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,Mexico,"30.729316100000, -112.873352600000",Central America to US
North Africa,2016,May,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.730874800000, 30.790269000000",Unknown
North Africa,2016,May,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.525259500000, 33.297328800000",Unknown
North Africa,2016,May,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","23.214508300000, 32.224018200000",Unknown
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.546410000000, -99.235295500000",Central America to US
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"16.474502000000, -93.253481100000",Central America to US
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.022782200000, -98.541238400000",Central America to US
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","33.024950500000, -115.845024500000",Central America to US
North Africa,2016,May,Unknown,57.0,57,Unknown,Unknown,Unknown,Unknown,Drowning,Spain,"26.391041500000, -16.410136100000",Unknown
North Africa,2016,May,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.670675600000, 24.074248000000",Unknown
Mediterranean,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.895384600000, -5.334817200000",Western Mediterranean
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","27.022782200000, -98.541238400000",Central America to US
Middle East,2016,May,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Syria,"36.450510200000, 38.951483600000",Unknown
North Africa,2016,May,10.0,10.0,20,29.0,Unknown,Unknown,Unknown,Drowning,Spain,"26.836882700000, -15.793979100000",Unknown
Europe,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,France,"50.951880300000, 1.833936700000",Calais to United Kingdom
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"18.268156600000, -95.896946100000",Central America to US
Middle East,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.450510200000, 38.951483600000",Unknown
Mediterranean,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Spain,"36.737271500000, -4.100630400000",Western Mediterranean
Middle East,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.450510200000, 38.951483600000",Unknown
Central America,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"27.961669600000, -110.817207100000",Central America to US
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Mediterranean,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,1.0,Drowning,Spain,"35.286270300000, -2.950878100000",Western Mediterranean
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"24.215586000000, -99.433269900000",Central America to US
US-Mexico Border,2016,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.637673500000, -100.528216300000",Central America to US
Sub-Saharan Africa,2016,May,5.0,2.0,7,Unknown,5.0,Unknown,2.0,Drowning,France,"-12.820932600000, 45.018986300000",Unknown
North Africa,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Starvation,Libya,"27.066317100000, 14.333614500000",Unknown
North Africa,2016,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"27.066317100000, 14.333614500000",Unknown
North Africa,2016,May,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Dehydration,Libya,"29.983483500000, 19.149947200000",Unknown
North Africa,2016,May,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Accident,Libya,"26.909154400000, 13.061496900000",Unknown
North Africa,2016,May,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Accident,Libya,"27.349939100000, 9.736672900000",Unknown
North Africa,2016,May,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Accident,Libya,"32.497084400000, 11.749176800000",Unknown
North Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"31.718180759121, 14.027583470703",Unknown
North Africa,2016,Apr,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","18.153803373897, 28.679550062500",Unknown
Mediterranean,2016,Apr,0.0,84.0,84,26.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.770354400000, 12.376176000000",Central Mediterranean
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"24.215586000000, -99.433269900000",Central America to US
Mediterranean,2016,Apr,2.0,18.0,20,105.0,Unknown,Unknown,Unknown,Drowning,Libya,"33.416533100000, 16.230191400000",Central Mediterranean
Mediterranean,2016,Apr,0.0,9.0,9,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"33.416533100000, 16.230191400000",Central Mediterranean
Middle East,2016,Apr,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Syria,"36.601335800000, 36.576530000000",Unknown
North Africa,2016,Apr,13.0,Unknown,13,19.0,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"31.760201600000, 13.977697100000",Unknown
Middle East,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.089526300000, 36.316630000000",Unknown
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.376354000000, -98.383347700000",Central America to US
Middle East,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.097529600000, 36.231401700000",Unknown
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Mediterranean,2016,Apr,Unknown,3.0,3,1.0,Unknown,Unknown,Unknown,Drowning,Spain,"36.727190900000, -2.165284500000",Western Mediterranean
Middle East,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"35.646973000000, 36.667937700000",Unknown
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
Central America,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"14.926782300000, -92.594762400000",Central America to US
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,Mexico,"29.074260400000, -110.959188300000",Central America to US
Central America,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Mexico,"29.162511900000, -111.157093200000",Central America to US
North Africa,2016,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
North Africa,2016,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.402255200000, 27.905378900000",Unknown
North Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"23.285107000000, 31.520455700000",Unknown
North Africa,2016,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.402255200000, 27.905378900000",Unknown
North Africa,2016,Apr,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"23.459686000000, 30.665449400000",Unknown
Middle East,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.080737800000, 36.348216500000",Unknown
North Africa,2016,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","22.320220900000, 31.546280400000",Unknown
North Africa,2016,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"30.046998900000, 31.216233200000",Unknown
North Africa,2016,Apr,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.824075900000, 31.260625300000",Unknown
North Africa,2016,Apr,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.525259500000, 33.297328800000",Unknown
Middle East,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.536004200000, 36.905859900000",Unknown
North Africa,2016,Apr,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.402255200000, 27.905378900000",Unknown
North Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"23.285107000000, 31.520455700000",Unknown
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Horn of Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Ethiopia,"6.773055000000, 39.443489800000",Unknown
Horn of Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"8.476128000000, 47.347479800000",Unknown
North Africa,2016,Apr,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
Mediterranean,2016,Apr,8.0,24.0,32,108.0,Unknown,Unknown,Unknown,Unknown,Italy,"35.501218200000, 12.505090100000",Central Mediterranean
Middle East,2016,Apr,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.695708600000, 36.617761600000",Unknown
Mediterranean,2016,Apr,Unknown,6.0,6,Unknown,Unknown,Unknown,Unknown,Drowning,Spain,"36.748932200000, -3.527553200000",Western Mediterranean
North Africa,2016,Apr,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.575410200000, 32.438189800000",Unknown
North Africa,2016,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.525259500000, 33.297328800000",Unknown
Mediterranean,2016,Apr,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Drowning,Greece,"37.724580500000, 26.677828300000",Eastern Mediterranean
Middle East,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.089526300000, 36.316630000000",Unknown
Middle East,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Syria,"35.998215200000, 36.520867800000",Unknown
Central America,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"17.452095700000, -91.456312200000",Central America to US
North Africa,2016,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"29.505621800000, 33.975046100000",Unknown
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"27.133490800000, -103.434484000000",Central America to US
Central America,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"21.430736400000, -110.175083000000",Central America to US
Central America,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.178763500000, -96.211335700000",Central America to US
Mediterranean,2016,Apr,5.0,4.0,9,5.0,4.0,Unknown,1.0,Drowning,Greece,"37.724580500000, 26.677828300000",Eastern Mediterranean
Mediterranean,2016,Apr,0.0,459.0,459,37.0,1.0,Unknown,1.0,Drowning,Egypt,"31.576003100000, 25.164174000000",Central Mediterranean
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.022717700000, -98.297914100000",Central America to US
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
North Africa,2016,Apr,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.946470800000, 30.814395500000",Unknown
North Africa,2016,Apr,7.0,Unknown,7,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","23.459686000000, 30.665449400000",Unknown
Central America,2016,Apr,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Murdered,Mexico,"17.264534900000, -91.001789000000",Central America to US
Middle East,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.848107600000, 40.078686700000",Unknown
US-Mexico Border,2016,Apr,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Weather conditions,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Central America,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,Mexico,"20.573030600000, -100.209020900000",Central America to US
Middle East,2016,Apr,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Sickness and lack of access to medicines,Syria,"36.461479100000, 37.125834900000",Unknown
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"31.647388100000, -106.349695800000",Central America to US
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.453141600000, -99.614852500000",Central America to US
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
US-Mexico Border,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Central America,2016,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Cardiac arrest,Mexico,"16.748864000000, -92.928110700000",Central America to US
North Africa,2016,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","19.643823700000, 24.429326800000",Unknown
North Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","19.643823700000, 24.429326800000",Unknown
North Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,Libya,"27.349939100000, 9.736672900000",Unknown
North Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,Algeria,"27.790343000000, 0.767595600000",Unknown
North Africa,2016,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"27.349939100000, 9.736672900000",Unknown
Europe,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,France,"50.951880300000, 1.833936700000",Calais to United Kingdom
Mediterranean,2016,Mar,9.0,Unknown,9,127.0,Unknown,Unknown,Unknown,Drowning,Egypt,"31.650930600000, 30.626169200000",Central Mediterranean
Central America,2016,Mar,4.0,Unknown,4,Unknown,Unknown,Unknown,1.0,Accident,Guatemala,"15.317928900000, -91.497190300000",Central America to US
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"16.290750100000, -94.198666900000",Central America to US
Horn of Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"1.134499800000, 42.466235200000",Unknown
Horn of Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"0.493016100000, 42.772682900000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"32.891822115566, 13.205071210156",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Dehydration,Libya,"26.879860255674, 14.780586100000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"32.781101600000, 12.449522100000",Unknown
North Africa,2016,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Dehydration,Algeria,"23.846362958884, 3.988727562500",Unknown
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Arizona, USA","31.364901400000, -111.067138900000",Central America to US
Mediterranean,2016,Mar,Unknown,90.0,90,30.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.770354400000, 12.376176000000",Central Mediterranean
North Africa,2016,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"23.459686000000, 30.665449400000",Unknown
Middle East,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.732184400000, 36.613272300000",Unknown
Mediterranean,2016,Mar,Unknown,84.0,84,1.0,Unknown,Unknown,Unknown,Drowning,Libya,"33.416533100000, 16.230191400000",Central Mediterranean
US-Mexico Border,2016,Mar,2.0,Unknown,2,4.0,Unknown,Unknown,Unknown,Accident,"California, USA","32.744104143579, -114.725059343410",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","26.376354000000, -98.383347700000",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.376354000000, -98.383347700000",Central America to US
Mediterranean,2016,Mar,12.0,Unknown,12,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.791242000000, 13.702657400000",Central Mediterranean
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"22.074187600000, -102.277884000000",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Arizona, USA","32.605602700000, -114.712142500000",Central America to US
Middle East,2016,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Syria,"36.747849600000, 36.575696700000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.824075900000, 31.260625300000",Unknown
Europe,2016,Mar,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Unknown,Turkey,"41.973614900000, 27.526430000000",Western Balkans
Central America,2016,Mar,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Murdered,Mexico,"17.264992800000, -91.002462500000",Central America to US
Mediterranean,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Italy,"39.196440300000, 9.105426900000",Central Mediterranean
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"19.045963400000, -96.430366800000",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Texas, USA","26.940382100000, -97.918176800000",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.421455700000, -97.851636900000",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.376354000000, -98.383347700000",Central America to US
Mediterranean,2016,Mar,2.0,Unknown,2,40.0,2.0,Unknown,2.0,Unknown,Greece,"36.155277800000, 29.495033500000",Eastern Mediterranean
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.056247700000, -96.381484400000",Central America to US
Mediterranean,2016,Mar,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Unknown,"Lesvos, Greece","39.209707825471, 26.517559644531",Eastern Mediterranean
